segment,n,breaches,breach_rate,kupiec_lr_uc,pinball_loss,alert_green,alert_orange,alert_red,curve_available_rate,evaluable_rate,mean_quality_score,quality_green,quality_yellow,quality_red,mean_uncertainty_score,uncertainty_low,uncertainty_elevated,corruption_rate,corrupt_missing,corrupt_stale,corrupt_ohlc,experiment,fallback_design,drift_reference_name
overall_model_var,4501,261.0,0.057987113974672294,5.762355397587498,0.0012549603991520864,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
overall_safe_var,4501,196.0,0.04354587869362364,4.119402125724491,0.001250604053640858,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
overall_hist63_anchor,4501,281.0,0.062430570984225726,13.61733248453902,0.0012979597951032025,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
overall_hist_var,4501,199.0,0.044212397245056656,3.2973063996603287,0.0012851240826305787,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
overall_ewma_norm_var,4501,259.0,0.05754276827371695,5.152100259668714,0.0012421592844242446,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
stress_model_var,900,59.0,0.06555555555555556,4.193745910845109,0.0016929534197593688,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
stress_safe_var,900,44.0,0.04888888888888889,0.02355781994793915,0.0016566836018438317,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
uncertainty_low_safe_var,3839,164.0,0.04271945819223756,4.496790189405601,0.0011977604793552024,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
uncertainty_elevated_safe_var,662,32.0,0.04833836858006042,0.03889058018143032,0.0015570488900194539,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
EEM_safe_var,750,36.0,0.048,0.06397207554175566,0.0011752495252896258,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
GLD_safe_var,750,23.0,0.030666666666666665,6.806157093926032,0.001191803442648364,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
IWM_safe_var,750,36.0,0.048,0.06397207554175566,0.0015063626348002534,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
QQQ_safe_var,750,43.0,0.05733333333333333,0.8124555215057399,0.0014851683019981908,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
SPY_safe_var,751,33.0,0.043941411451398134,0.6040120553932411,0.0011080925373719696,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
TLT_safe_var,750,25.0,0.03333333333333333,4.944771526802128,0.0010371378950917692,,,,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
alert_counts,4501,,,,,3612.0,726.0,163.0,,,,,,,,,,,,,,main_full_service,full_service,main_full_service
service_coverage,4501,,,,,,,,0.8891357476116418,1.0,,,,,,,,,,,,main_full_service,full_service,main_full_service
quality_activation,4501,,,,,,,,,,0.028493702718662185,4501.0,0.0,0.0,,,,,,,,main_full_service,full_service,main_full_service
uncertainty_activation,4501,,,,,,,,,,,,,,0.05981986880703294,3839.0,662.0,,,,,main_full_service,full_service,main_full_service
corruption_stats,4501,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,main_full_service,full_service,main_full_service
