date,days,rate
2018-01-02,7,1.501048
2018-01-02,15,1.527942
2018-01-02,50,1.649744
2018-01-02,78,1.683121
2018-01-02,106,1.717587
2018-01-02,134,1.748227
2018-01-02,169,1.78266
2018-01-02,260,1.850775
2018-01-02,351,1.913646
2018-01-02,442,1.972431
2018-01-02,533,2.021471
2018-01-02,624,2.064293
2018-01-02,715,2.100705
2018-01-02,806,2.133447
2018-01-02,897,2.160058
2018-01-02,988,2.182694
2018-01-02,1079,2.202787
2018-01-02,1170,2.221714
2018-01-02,1261,2.239
2018-01-02,1352,2.254638
2018-01-02,1443,2.269256
2018-01-02,1534,2.283635
2018-01-02,1625,2.297249
2018-01-02,1723,2.311126
2018-01-02,1814,2.323712
2018-01-02,1898,2.335625
2018-01-02,1996,2.348934
2018-01-02,2087,2.361079
2018-01-02,2178,2.372841
2018-01-02,2269,2.38467
2018-01-02,2360,2.395975
2018-01-02,2451,2.407001
2018-01-02,2542,2.417778
2018-01-02,2633,2.428507
2018-01-02,2724,2.438855
2018-01-02,2815,2.44886
2018-01-02,2906,2.458553
2018-01-02,2997,2.468117
2018-01-02,3088,2.477413
2018-01-02,3179,2.486465
2018-01-02,3270,2.495294
2018-01-02,3361,2.503918
2018-01-02,3452,2.512219
2018-01-02,3543,2.520223
2018-01-02,3634,2.528205
2018-01-03,7,1.492343
2018-01-03,14,1.516999
2018-01-03,49,1.649103
2018-01-03,77,1.681304
2018-01-03,105,1.716583
2018-01-03,133,1.748731
2018-01-03,168,1.785373
2018-01-03,259,1.85634
2018-01-03,350,1.920567
2018-01-03,441,1.980136
2018-01-03,532,2.028812
2018-01-03,623,2.071367
2018-01-03,714,2.107572
2018-01-03,805,2.140148
2018-01-03,896,2.166619
2018-01-03,987,2.189139
2018-01-03,1078,2.208706
2018-01-03,1169,2.227189
2018-01-03,1260,2.24373
2018-01-03,1351,2.25906
2018-01-03,1442,2.27341
2018-01-03,1533,2.287252
2018-01-03,1624,2.300107
2018-01-03,1722,2.313257
2018-01-03,1813,2.325237
2018-01-03,1897,2.336419
2018-01-03,1995,2.348953
